Centre,Gender,Labour Category,Labour Type,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Annual Average,State,District,Centre_length
BHAKHARAEN,W,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,MADHUBANI,10
BHAKHARAEN,M,"SKILLED 
LABOUR",CARPENTER,150,150,150,225,225,225,180,180,180,-,-,-,185,BIHAR,MADHUBANI,10
BHAKHARAEN,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,MADHUBANI,10
BHAKHARAEN,M,"SKILLED 
LABOUR",COBBLER,-,-,-,300,300,300,200,200,200,-,-,-,250,BIHAR,MADHUBANI,10
BHAKHARAEN,W,"SKILLED 
LABOUR",COBBLER,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,MADHUBANI,10
NAUVAGARHI,M,FIELD LABOUR,PLOUGHMAN,-,-,-,-,-,-,-,220,135,135,135,-,156.25,BIHAR,MONGHYR,10
NAUVAGARHI,W,FIELD LABOUR,PLOUGHMAN,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,MONGHYR,10
NAUVAGARHI,M,FIELD LABOUR,"REAPER & 
HARVESTER",-,-,-,-,-,-,-,140,140,140,145,-,141.25,BIHAR,MONGHYR,10
NAUVAGARHI,W,FIELD LABOUR,"REAPER & 
HARVESTER",-,-,-,-,-,-,-,80,80,80,85,-,81.25,BIHAR,MONGHYR,10
NAUVAGARHI,M,FIELD LABOUR,SOWER,-,-,-,-,-,-,-,-,100,100,100,-,100,BIHAR,MONGHYR,10
NAUVAGARHI,W,FIELD LABOUR,SOWER,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,MONGHYR,10
NAUVAGARHI,M,HERDSMEN,HERDSMEN,-,-,-,-,-,-,-,120,120,120,120,-,120,BIHAR,MONGHYR,10
NAUVAGARHI,W,HERDSMEN,HERDSMEN,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,MONGHYR,10
NAUVAGARHI,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",-,-,-,-,-,-,-,120,120,120,120,-,120,BIHAR,MONGHYR,10
NAUVAGARHI,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",-,-,-,-,-,-,-,80,80,80,80,-,80,BIHAR,MONGHYR,10
NAUVAGARHI,M,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,-,200,200,200,200,-,200,BIHAR,MONGHYR,10
NAUVAGARHI,W,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,MONGHYR,10
NAUVAGARHI,M,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,200,200,200,200,-,200,BIHAR,MONGHYR,10
NAUVAGARHI,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,MONGHYR,10
BHALUI RASOOL,M,FIELD LABOUR,PLOUGHMAN,115,115,120,120,120,120,120,120,120,-,-,-,118.89,BIHAR,MUZAFFARPUR,13
BHALUI RASOOL,W,FIELD LABOUR,PLOUGHMAN,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,MUZAFFARPUR,13
BHALUI RASOOL,M,FIELD LABOUR,"REAPER & 
HARVESTER",115,115,120,120,120,120,120,120,120,-,-,-,118.89,BIHAR,MUZAFFARPUR,13
BHALUI RASOOL,W,FIELD LABOUR,"REAPER & 
HARVESTER",115,115,120,120,120,120,120,120,120,-,-,-,118.89,BIHAR,MUZAFFARPUR,13
BHALUI RASOOL,M,FIELD LABOUR,SOWER,115,115,120,120,120,120,120,120,120,-,-,-,118.89,BIHAR,MUZAFFARPUR,13
BHALUI RASOOL,W,FIELD LABOUR,SOWER,115,115,120,120,120,120,120,120,120,-,-,-,118.89,BIHAR,MUZAFFARPUR,13
BHALUI RASOOL,M,FIELD LABOUR,WEEDER,115,115,120,120,120,120,120,120,120,-,-,-,118.89,BIHAR,MUZAFFARPUR,13
BHALUI RASOOL,W,FIELD LABOUR,WEEDER,115,115,120,120,120,120,120,120,120,-,-,-,118.89,BIHAR,MUZAFFARPUR,13
BHALUI RASOOL,M,HERDSMEN,HERDSMEN,115,115,120,120,120,120,120,-,120,-,-,-,118.75,BIHAR,MUZAFFARPUR,13
BHALUI RASOOL,W,HERDSMEN,HERDSMEN,115,115,120,120,120,120,120,-,120,-,-,-,118.75,BIHAR,MUZAFFARPUR,13
BHALUI RASOOL,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",115,115,120,120,120,120,120,120,120,-,-,-,118.89,BIHAR,MUZAFFARPUR,13
BHALUI RASOOL,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",115,115,120,120,120,120,120,-,120,-,-,-,118.75,BIHAR,MUZAFFARPUR,13
BHALUI RASOOL,M,"SKILLED 
LABOUR",BLACKSMITH,175,175,180,180,180,180,180,180,180,-,-,-,178.89,BIHAR,MUZAFFARPUR,13
BHALUI RASOOL,W,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,MUZAFFARPUR,13
BHALUI RASOOL,M,"SKILLED 
LABOUR",CARPENTER,175,175,180,180,180,180,180,180,180,-,-,-,178.89,BIHAR,MUZAFFARPUR,13
BHALUI RASOOL,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,MUZAFFARPUR,13
BHALUI RASOOL,M,"SKILLED 
LABOUR",COBBLER,175,175,180,180,180,180,180,180,180,-,-,-,178.89,BIHAR,MUZAFFARPUR,13
BHALUI RASOOL,W,"SKILLED 
LABOUR",COBBLER,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,MUZAFFARPUR,13
DIYAWAN,M,FIELD LABOUR,PLOUGHMAN,100,100,100,120,120,120,140,140,140,140,140,-,123.64,BIHAR,NALANDA,7
DIYAWAN,W,FIELD LABOUR,PLOUGHMAN,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,NALANDA,7
DIYAWAN,M,FIELD LABOUR,SOWER,100,100,100,120,120,120,140,140,140,140,140,-,123.64,BIHAR,NALANDA,7
DIYAWAN,W,FIELD LABOUR,SOWER,100,100,100,120,120,120,140,140,140,140,140,-,123.64,BIHAR,NALANDA,7
DIYAWAN,M,FIELD LABOUR,WEEDER,100,100,100,120,120,120,130,130,130,130,130,-,119.09,BIHAR,NALANDA,7
DIYAWAN,W,FIELD LABOUR,WEEDER,100,100,100,120,120,120,130,130,130,130,130,-,119.09,BIHAR,NALANDA,7
DIYAWAN,M,HERDSMEN,HERDSMEN,95,95,95,105,105,105,120,120,120,120,120,-,109.09,BIHAR,NALANDA,7
DIYAWAN,W,HERDSMEN,HERDSMEN,95,95,95,105,105,105,120,120,120,120,120,-,109.09,BIHAR,NALANDA,7
DIYAWAN,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",95,95,95,105,105,105,120,120,120,120,120,-,109.09,BIHAR,NALANDA,7
DIYAWAN,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",95,95,95,105,105,105,120,120,120,120,120,-,109.09,BIHAR,NALANDA,7
DIYAWAN,M,"SKILLED 
LABOUR",BLACKSMITH,150,150,150,175,175,175,200,200,200,200,200,-,179.55,BIHAR,NALANDA,7
DIYAWAN,W,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,NALANDA,7
DIYAWAN,M,"SKILLED 
LABOUR",CARPENTER,150,150,150,175,175,175,200,200,200,200,200,-,179.55,BIHAR,NALANDA,7
DIYAWAN,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,NALANDA,7
DIYAWAN,M,"SKILLED 
LABOUR",COBBLER,150,150,150,175,175,175,200,200,200,200,200,-,179.55,BIHAR,NALANDA,7
DIYAWAN,W,"SKILLED 
LABOUR",COBBLER,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,NALANDA,7
DEEGHA,M,FIELD LABOUR,PLOUGHMAN,-,-,-,-,-,-,-,-,160,170,170,175,168.75,BIHAR,PATNA,6
DEEGHA,W,FIELD LABOUR,PLOUGHMAN,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,PATNA,6
DEEGHA,M,FIELD LABOUR,"REAPER & 
HARVESTER",-,-,-,-,-,-,-,-,-,185,185,185,185,BIHAR,PATNA,6
DEEGHA,W,FIELD LABOUR,"REAPER & 
HARVESTER",-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,PATNA,6
DEEGHA,M,FIELD LABOUR,SOWER,-,-,-,-,-,-,-,-,170,180,180,180,177.5,BIHAR,PATNA,6
DEEGHA,W,FIELD LABOUR,SOWER,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,PATNA,6
DEEGHA,M,FIELD LABOUR,WEEDER,-,-,-,-,-,-,-,-,160,170,170,170,167.5,BIHAR,PATNA,6
DEEGHA,W,FIELD LABOUR,WEEDER,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,PATNA,6
DEEGHA,M,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,-,-,250,250,250,250,250,BIHAR,PATNA,6
DEEGHA,W,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,PATNA,6
DEEGHA,M,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,260,265,265,265,263.75,BIHAR,PATNA,6
DEEGHA,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,PATNA,6
DEEGHA,M,"SKILLED 
LABOUR",COBBLER,-,-,-,-,-,-,-,-,265,260,260,260,261.25,BIHAR,PATNA,6
DEEGHA,W,"SKILLED 
LABOUR",COBBLER,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,PATNA,6
KUSHA,M,FIELD LABOUR,PLOUGHMAN,150,150,150,150,-,150,150,150,150,-,-,120,146.67,BIHAR,ROHTAS,5
KUSHA,W,FIELD LABOUR,PLOUGHMAN,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,ROHTAS,5
KUSHA,M,FIELD LABOUR,"REAPER & 
HARVESTER",160,160,160,160,-,160,160,160,100,-,-,-,152.5,BIHAR,ROHTAS,5
KUSHA,W,FIELD LABOUR,"REAPER & 
HARVESTER",-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,ROHTAS,5
KUSHA,M,FIELD LABOUR,SOWER,100,100,100,100,-,100,100,100,100,-,-,-,100,BIHAR,ROHTAS,5
KUSHA,W,FIELD LABOUR,SOWER,100,100,100,100,-,100,100,100,100,-,-,-,100,BIHAR,ROHTAS,5
KUSHA,M,FIELD LABOUR,WEEDER,80,80,80,80,-,80,80,80,160,100,100,100,92.73,BIHAR,ROHTAS,5
KUSHA,W,FIELD LABOUR,WEEDER,-,-,-,-,-,-,-,-,-,80,80,-,80,BIHAR,ROHTAS,5
KUSHA,M,HERDSMEN,HERDSMEN,50,50,50,50,-,50,50,50,-,50,50,50,50,BIHAR,ROHTAS,5
KUSHA,W,HERDSMEN,HERDSMEN,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,ROHTAS,5
KUSHA,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",100,100,100,100,-,100,100,100,50,100,100,100,95.45,BIHAR,ROHTAS,5
KUSHA,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,ROHTAS,5
KUSHA,M,"SKILLED 
LABOUR",BLACKSMITH,160,160,160,160,160,160,160,160,160,150,150,150,157.5,BIHAR,ROHTAS,5
KUSHA,W,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,ROHTAS,5
KUSHA,M,"SKILLED 
LABOUR",CARPENTER,160,160,160,160,160,160,160,160,160,150,150,150,157.5,BIHAR,ROHTAS,5
KUSHA,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,ROHTAS,5
KUSHA,M,"SKILLED 
LABOUR",COBBLER,-,-,-,-,-,-,-,-,-,120,120,120,120,BIHAR,ROHTAS,5
KUSHA,W,"SKILLED 
LABOUR",COBBLER,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,ROHTAS,5
MURALI,M,FIELD LABOUR,PLOUGHMAN,-,103,103,103,-,-,103,103,103,103,110,110,104.56,BIHAR,SAHARSA,6
MURALI,W,FIELD LABOUR,PLOUGHMAN,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,SAHARSA,6
MURALI,M,FIELD LABOUR,"REAPER & 
HARVESTER",-,102.14,102,102,-,-,103,-,-,-,110,110,104.86,BIHAR,SAHARSA,6
MURALI,W,FIELD LABOUR,"REAPER & 
HARVESTER",-,60,60,60,-,-,103,-,-,-,-,-,70.75,BIHAR,SAHARSA,6
MURALI,M,FIELD LABOUR,SOWER,-,83,83,83,-,-,83,83,83,83,110,110,89,BIHAR,SAHARSA,6
MURALI,W,FIELD LABOUR,SOWER,-,102,102,102,-,-,103,103,103,103,110,110,104.22,BIHAR,SAHARSA,6
MURALI,M,FIELD LABOUR,WEEDER,-,103,103,103,-,-,103,103,-,-,110,110,105,BIHAR,SAHARSA,6
MURALI,W,FIELD LABOUR,WEEDER,-,83,83,83,-,-,83,83,-,-,-,-,83,BIHAR,SAHARSA,6
MURALI,M,HERDSMEN,HERDSMEN,-,60,60,60,-,-,60,63,-,-,-,-,60.6,BIHAR,SAHARSA,6
MURALI,W,HERDSMEN,HERDSMEN,-,60,60,60,-,-,60,63,-,-,-,-,60.6,BIHAR,SAHARSA,6
MURALI,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",-,102,102,102,-,-,103,-,-,-,110,110,104.83,BIHAR,SAHARSA,6
MURALI,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",-,60,60,60,-,-,103,-,-,-,110,110,83.83,BIHAR,SAHARSA,6
MURALI,M,"SKILLED 
LABOUR",BLACKSMITH,-,200,200,200,-,-,200,200,200,200,250,250,211.11,BIHAR,SAHARSA,6
MURALI,W,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,SAHARSA,6
MURALI,M,"SKILLED 
LABOUR",CARPENTER,-,250,250,250,-,-,250,250,250,250,250,250,250,BIHAR,SAHARSA,6
MURALI,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,SAHARSA,6
MURALI,M,"SKILLED 
LABOUR",COBBLER,-,250,250,250,-,-,200,250,250,250,250,250,244.44,BIHAR,SAHARSA,6
MURALI,W,"SKILLED 
LABOUR",COBBLER,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,SAHARSA,6
UJIYARPUR,M,FIELD LABOUR,PLOUGHMAN,-,-,-,-,-,-,175,175,175,175,175,175,175,BIHAR,SAMASTIPUR,9
UJIYARPUR,W,FIELD LABOUR,PLOUGHMAN,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,SAMASTIPUR,9
UJIYARPUR,M,FIELD LABOUR,"REAPER & 
HARVESTER",-,-,-,-,-,-,168,168,168,168,168,168,168,BIHAR,SAMASTIPUR,9
UJIYARPUR,W,FIELD LABOUR,"REAPER & 
HARVESTER",-,-,-,-,-,-,-,-,-,168,168,168,168,BIHAR,SAMASTIPUR,9
UJIYARPUR,M,FIELD LABOUR,SOWER,-,-,-,-,-,-,120,120,120,120,120,120,120,BIHAR,SAMASTIPUR,9
UJIYARPUR,W,FIELD LABOUR,SOWER,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,SAMASTIPUR,9
UJIYARPUR,M,FIELD LABOUR,WEEDER,-,-,-,-,-,-,135,135,135,135,135,135,135,BIHAR,SAMASTIPUR,9
UJIYARPUR,W,FIELD LABOUR,WEEDER,-,-,-,-,-,-,135,135,135,135,135,135,135,BIHAR,SAMASTIPUR,9
UJIYARPUR,M,HERDSMEN,HERDSMEN,-,-,-,-,-,-,110,110,110,110,110,110,110,BIHAR,SAMASTIPUR,9
UJIYARPUR,W,HERDSMEN,HERDSMEN,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,SAMASTIPUR,9
UJIYARPUR,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",-,-,-,-,-,-,125,125,125,125,125,125,125,BIHAR,SAMASTIPUR,9
UJIYARPUR,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",-,-,-,-,-,-,-,-,-,-,-,125,125,BIHAR,SAMASTIPUR,9
UJIYARPUR,M,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,225,225,225,225,225,225,225,BIHAR,SAMASTIPUR,9
UJIYARPUR,W,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,SAMASTIPUR,9
UJIYARPUR,M,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,225,225,225,225,225,225,225,BIHAR,SAMASTIPUR,9
UJIYARPUR,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,SAMASTIPUR,9
UJIYARPUR,M,"SKILLED 
LABOUR",COBBLER,-,-,-,-,-,-,250,250,250,250,250,250,250,BIHAR,SAMASTIPUR,9
UJIYARPUR,W,"SKILLED 
LABOUR",COBBLER,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,SAMASTIPUR,9
KUTAUT,M,FIELD LABOUR,PLOUGHMAN,150,150,150,150,150,150,170,170,-,-,172.5,172.5,158.5,BIHAR,SHEKHPURA,6
KUTAUT,W,FIELD LABOUR,PLOUGHMAN,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,SHEKHPURA,6
KUTAUT,M,FIELD LABOUR,WEEDER,-,-,-,-,-,-,-,-,172.5,172.5,-,-,172.5,BIHAR,SHEKHPURA,6
KUTAUT,W,FIELD LABOUR,WEEDER,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,SHEKHPURA,6
KUTAUT,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",150,150,150,150,150,150,170,170,170,172.5,172.5,172.5,160.63,BIHAR,SHEKHPURA,6
KUTAUT,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,SHEKHPURA,6
KUTAUT,M,"SKILLED 
LABOUR",CARPENTER,220,220,220,220,220,220,230,230,230,232.5,232.5,232.5,225.63,BIHAR,SHEKHPURA,6
KUTAUT,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,SHEKHPURA,6
BELA,M,FIELD LABOUR,PLOUGHMAN,100,100,100,100,100,100,150,150,150,150,150,150,125,BIHAR,SITAMARHI,4
BELA,W,FIELD LABOUR,PLOUGHMAN,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,SITAMARHI,4
BELA,M,FIELD LABOUR,"REAPER & 
HARVESTER",100,100,100,100,100,100,100,100,100,100,125,125,104.17,BIHAR,SITAMARHI,4
BELA,W,FIELD LABOUR,"REAPER & 
HARVESTER",100,-,100,100,100,100,100,100,100,100,125,125,104.55,BIHAR,SITAMARHI,4
BELA,M,FIELD LABOUR,SOWER,100,100,100,100,100,100,100,100,100,150,150,150,112.5,BIHAR,SITAMARHI,4
BELA,W,FIELD LABOUR,SOWER,100,100,100,100,100,100,100,100,100,150,150,150,112.5,BIHAR,SITAMARHI,4
BELA,M,FIELD LABOUR,WEEDER,100,100,100,100,100,100,100,100,100,100,100,100,100,BIHAR,SITAMARHI,4
BELA,W,FIELD LABOUR,WEEDER,100,100,100,100,100,100,100,100,100,100,100,100,100,BIHAR,SITAMARHI,4
BELA,M,"SKILLED 
LABOUR",CARPENTER,200,200,200,200,200,200,200,200,200,250,250,250,212.5,BIHAR,SITAMARHI,4
BELA,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,SITAMARHI,4
JHAKHAULI,M,FIELD LABOUR,PLOUGHMAN,110,125,125,125,130,130,140,160,160,160,190,100,137.92,BIHAR,"WEST 
CHAMPARAN",9
JHAKHAULI,W,FIELD LABOUR,PLOUGHMAN,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,"WEST 
CHAMPARAN",9
JHAKHAULI,M,FIELD LABOUR,"REAPER & 
HARVESTER",150,150,155,155,155,160,160,200,200,200,-,100,162.27,BIHAR,"WEST 
CHAMPARAN",9
JHAKHAULI,W,FIELD LABOUR,"REAPER & 
HARVESTER",150,150,150,150,150,160,160,-,-,-,-,-,152.86,BIHAR,"WEST 
CHAMPARAN",9
JHAKHAULI,M,FIELD LABOUR,SOWER,-,120,120,120,120,120,130,160,160,160,160,100,133.64,BIHAR,"WEST 
CHAMPARAN",9
JHAKHAULI,W,FIELD LABOUR,SOWER,-,120,120,120,120,120,130,-,-,-,-,-,121.67,BIHAR,"WEST 
CHAMPARAN",9
JHAKHAULI,M,FIELD LABOUR,WEEDER,110,110,115,115,115,115,120,160,160,160,165,60,125.42,BIHAR,"WEST 
CHAMPARAN",9
JHAKHAULI,W,FIELD LABOUR,WEEDER,110,110,115,115,115,115,120,-,-,-,-,-,114.29,BIHAR,"WEST 
CHAMPARAN",9
JHAKHAULI,M,HERDSMEN,HERDSMEN,80,100,100,100,100,100,100,-,-,-,-,-,97.14,BIHAR,"WEST 
CHAMPARAN",9
JHAKHAULI,W,HERDSMEN,HERDSMEN,70,100,100,100,100,100,100,-,-,-,-,-,95.71,BIHAR,"WEST 
CHAMPARAN",9
JHAKHAULI,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",125,125,125,125,125,125,140,-,-,-,-,-,127.14,BIHAR,"WEST 
CHAMPARAN",9
JHAKHAULI,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",110,100,110,100,110,110,140,-,-,-,-,-,111.43,BIHAR,"WEST 
CHAMPARAN",9
JHAKHAULI,M,"SKILLED 
LABOUR",BLACKSMITH,145,145,145,140,145,140,150,240,240,240,265,150,178.75,BIHAR,"WEST 
CHAMPARAN",9
JHAKHAULI,W,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,"WEST 
CHAMPARAN",9
JHAKHAULI,M,"SKILLED 
LABOUR",CARPENTER,150,150,150,150,150,150,155,240,240,240,265,150,182.5,BIHAR,"WEST 
CHAMPARAN",9
JHAKHAULI,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,"WEST 
CHAMPARAN",9
JHAKHAULI,M,"SKILLED 
LABOUR",COBBLER,-,-,-,-,-,-,-,290,290,290,300,-,292.5,BIHAR,"WEST 
CHAMPARAN",9
JHAKHAULI,W,"SKILLED 
LABOUR",COBBLER,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,"WEST 
CHAMPARAN",9
PAKARI,M,FIELD LABOUR,PLOUGHMAN,100,100,100,100,110,110,100,190,190,-,190,190,134.55,BIHAR,"WEST 
CHAMPARAN",6
PAKARI,W,FIELD LABOUR,PLOUGHMAN,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,"WEST 
CHAMPARAN",6
PAKARI,M,FIELD LABOUR,"REAPER & 
HARVESTER",150,150,140,150,140,150,100,200,200,-,200,200,161.82,BIHAR,"WEST 
CHAMPARAN",6
PAKARI,W,FIELD LABOUR,"REAPER & 
HARVESTER",120,140,140,120,-,150,-,-,-,-,-,-,134,BIHAR,"WEST 
CHAMPARAN",6
PAKARI,M,FIELD LABOUR,SOWER,100,100,100,100,100,120,100,160,160,-,160,160,123.64,BIHAR,"WEST 
CHAMPARAN",6
PAKARI,W,FIELD LABOUR,SOWER,-,-,-,-,100,100,-,-,-,-,-,-,100,BIHAR,"WEST 
CHAMPARAN",6
PAKARI,M,FIELD LABOUR,WEEDER,100,100,100,100,110,100,100,160,160,-,160,160,122.73,BIHAR,"WEST 
CHAMPARAN",6
PAKARI,W,FIELD LABOUR,WEEDER,100,100,100,100,100,100,100,-,-,-,-,-,100,BIHAR,"WEST 
CHAMPARAN",6
PAKARI,M,HERDSMEN,HERDSMEN,70,80,80,70,80,-,-,-,-,-,-,-,76,BIHAR,"WEST 
CHAMPARAN",6
PAKARI,W,HERDSMEN,HERDSMEN,60,60,60,60,50,-,-,-,-,-,-,-,58,BIHAR,"WEST 
CHAMPARAN",6
PAKARI,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",125,125,125,125,125,125,100,-,-,-,-,-,121.43,BIHAR,"WEST 
CHAMPARAN",6
PAKARI,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",100,100,100,100,100,100,-,-,-,-,-,-,100,BIHAR,"WEST 
CHAMPARAN",6
PAKARI,M,"SKILLED 
LABOUR",BLACKSMITH,140,140,140,140,140,140,150,240,240,-,240,240,177.27,BIHAR,"WEST 
CHAMPARAN",6
PAKARI,W,"SKILLED 
LABOUR",BLACKSMITH,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,"WEST 
CHAMPARAN",6
PAKARI,M,"SKILLED 
LABOUR",CARPENTER,150,150,150,150,150,150,150,240,240,-,240,240,182.73,BIHAR,"WEST 
CHAMPARAN",6
PAKARI,W,"SKILLED 
LABOUR",CARPENTER,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,"WEST 
CHAMPARAN",6
PAKARI,M,"SKILLED 
LABOUR",COBBLER,-,-,-,-,-,-,-,290,290,-,290,290,290,BIHAR,"WEST 
CHAMPARAN",6
PAKARI,W,"SKILLED 
LABOUR",COBBLER,-,-,-,-,-,-,-,-,-,-,-,-,-,BIHAR,"WEST 
CHAMPARAN",6
KESHKALA,M,FIELD LABOUR,PLOUGHMAN,100,-,-,-,-,120,-,-,-,-,-,150,123.33,CHHATTISGARH,BASTAR,8
KESHKALA,W,FIELD LABOUR,PLOUGHMAN,-,-,-,-,-,-,-,-,-,-,-,-,-,CHHATTISGARH,BASTAR,8
KESHKALA,M,FIELD LABOUR,"REAPER & 
HARVESTER",-,-,-,100,110,-,-,-,-,-,-,-,105,CHHATTISGARH,BASTAR,8
KESHKALA,W,FIELD LABOUR,"REAPER & 
HARVESTER",-,-,-,60,60,-,-,-,-,-,-,-,60,CHHATTISGARH,BASTAR,8
KESHKALA,M,FIELD LABOUR,SOWER,80,-,-,-,-,-,-,-,-,-,-,-,80,CHHATTISGARH,BASTAR,8
KESHKALA,W,FIELD LABOUR,SOWER,60,-,-,-,-,-,-,-,-,-,-,-,60,CHHATTISGARH,BASTAR,8
KESHKALA,M,FIELD LABOUR,WEEDER,80,70,70,-,-,-,-,-,-,-,-,-,73.33,CHHATTISGARH,BASTAR,8
